jobtitle,count
"Web Developer IV",2
"Web Developer III",8
"Web Developer II",10
"Web Developer I",15
"Web Designer IV",2
"Web Designer I",2
"VP Quality Control",3
"VP Product Management",4
"VP Marketing",4
"VP Accounting",3
"Training Manager",18
"Trainer III",17
"Trainer II",26
"Trainer I",16
"Tax Accountant",29
"Systems Administrator IV",6
"Systems Administrator III",5
"Systems Administrator II",7
"Systems Administrator I",32
"Support Staff III",3
"Support Staff II",3
"Support Staff",8
"Structural Engineer",28
"Structural Analysis Engineer",6
"Statistician III",1
"Statistician II",3
"Staff Accountant IV",5
"Staff Accountant III",10
"Staff Accountant II",5
"Staff Accountant I",45
"Solutions Engineer Manager",29
"Solutions Engineer",13
"Software Test Engineer IV",7
"Software Test Engineer III",7
"Software Test Engineer II",11
"Software Test Engineer I",2
"Software Engineer IV",9
"Software Engineer III",12
"Software Engineer II",6
"Software Engineer I",38
"Software Consultant",24
"Service Tech III",29
"Service Tech II",26
"Service Tech",29
"Service Manager",25
"Service Coordinator",26
"Senior Trainer",19
"Senior Recruiter",18
"Senior Quality Engineer",15
"Senior Financial Analyst",5
"Senior Editor",7
"Senior Developer",29
"Senior Cost Accountant",24
"Senior Attorney",7
"Research Associate",19
"Research Assistant IV",2
"Research Assistant III",2
"Research Assistant II",61
"Research Assistant I",46
"Research Assistant",3
"Relationshiop Manager",19
"Recruiting Manager",2
Recruiter,19
"Quality Engineer",5
"Quality Control Specialist",10
"Project Manager",28
"Programmer IV",7
"Programmer III",14
"Programmer II",7
"Programmer I",6
"Programmer Analyst IV",4
"Programmer Analyst III",8
"Programmer Analyst II",2
"Programmer Analyst I",12
"Product Engineer",6
"Pre-Sales Consultant",15
"Payment Adjustment Coordinator",1
Paralegal,5
Operator,16
"Office Assistant II",1
"Media Manager II",2
"Media Manager I",11
"Mechanical Systems Engineer",2
"Marketing Manager",1
"Marketing Assistant",1
Librarian,3
"Legal Assistant",1
"Junior Trainer",7
"Internal Auditor",7
"Information Systems Manager",3
"Human Resources Manager",4
"Human Resources Assistant IV",1
"Human Resources Assistant III",1
"Human Resources Assistant II",1
"Human Resources Analyst II",46
"Human Resources Analyst",39
"HR Manager",18
"Help Desk Technician",23
"Help Desk Operator",7
"General Manager",3
"Financial Analyst",6
"Financial Advisor",1
"Executive Assistant",1
"Engineer II",2
"Engineer I",1
"Electrical Engineer",3
Editor,5
"Developer IV",6
"Developer III",6
"Developer II",7
"Developer I",4
"Desktop Support Technician",35
"Design Engineer",5
"Database Administrator IV",10
"Database Administrator III",3
"Database Administrator II",5
"Database Administrator I",5
"Data Visualization Specialist",38
"Data Coordiator",28
"Customer Success Manager",9
"Cost Accountant",28
"Content Developer III",4
"Content Developer II",4
"Content Developer",2
"Computer Systems Analyst IV",6
"Computer Systems Analyst III",5
"Computer Systems Analyst II",12
"Computer Systems Analyst I",5
"Compensation Analyst",4
"Community Outreach Specialist",4
"Chief Design Engineer",6
"Business Systems Development Analyst",22
"Business Development Manager",2
"Business Analyst",59
"Budget/Accounting Analyst IV",14
"Budget/Accounting Analyst III",11
"Budget/Accounting Analyst II",12
"Budget/Accounting Analyst I",10
"Automation Specialist IV",2
"Automation Specialist III",3
"Automation Specialist I",3
Attorney,5
"Assistant Trainer",13
"Assistant Manager",4
"Analyst Programmer",24
"Analog Circuit Design manager",3
"Administrative Officer",5
"Administrative Assistant III",1
"Administrative Assistant II",5
"Administrative Assistant I",13
"Administrative Assistant",3
Actuary,3
"Accounting Assistant IV",8
"Accounting Assistant III",9
"Accounting Assistant II",7
"Accounting Assistant I",13
"Accountant IV",6
"Accountant III",8
"Accountant II",6
"Accountant I",8
"Account Manager",15
"Account Executive",36
